feature,logistic_regression,isolation_forest,random_forest,mean_importance
overall_consistency_score,2.340205466195246,0.6418898719234111,0.11999554718138494,1.034030295100014
network_risk_score,2.0716130487709865,0.12894634726035223,0.30200008498222314,0.8341864936711872
temporal_risk_score,0.9409331825264602,0.5342522505530011,0.029101546535658423,0.5014289932050399
financial_risk_score,0.8498265333352593,0.5765485391120224,0.04773032872964368,0.49136846705897513
network_connection_count,0.8334020315441435,0.0964950570508666,0.24880995678848927,0.39290234846116645
data_quality_score,0.38984965041919045,0.761048773793913,0.005743327427589401,0.3855472505468976
success_metric,0.13184027143962063,0.48095497215491845,0.05211179351379869,0.2216356790361126
experience_years,0.2935365325506453,0.08730503348752063,0.026416065451362658,0.13575254382984286
max_value,0.0010503679496620785,0.09349401352854589,0.16068021616711411,0.08507486588177403
avg_value,0.011372985344443516,0.023091438266979014,0.0074111332227356575,0.013958518944719396
