brand_id;brand_name;sponsorship_deals;product_types;location;annual_revenue;contact_email;phone_number;website;
150;Kappa;Football Club;Sportswear;Uganda;$47.4B;contact@kappa.com;2 557 629 850;https://www.kappa.com;
467;Le Coq Sportif;Basketball Team;Basketball;Zambia;$47.3B;contact@le coq sportif.com;2 553 629 252;https://www.le coq sportif.com;
464;Puma;Basketball Team;Footwear;Egypt;$29.7B;contact@puma.com;1 766 661 003;https://www.puma.com;
421;AY Sport;Football Club;Sportswear;Ghana;$39.0B;contact@ay sport.com;2 368 519 018;https://www.ay sport.com;
47;Kappa;National Team;National Team;Egypt;$47.2B;contact@kappa.com;1 635 733 744;https://www.kappa.com;
334;Masita;Football Club;National Team;Uganda;$43.9B;contact@masita.com;1 756 546 092;https://www.masita.com;
389;Masita;National Team;Footwear;Algeria;$31.3B;contact@masita.com;2 042 324 774;https://www.masita.com;
821;Erreà;National Team;Sportswear;Egypt;$24.1B;contact@erreà.com;2 096 714 176;https://www.erreà.com;
266;Masita;Football Club;Football Club;Nigeria;$13.0B;contact@masita.com;2 392 002 270;https://www.masita.com;
307;Erreà;Basketball Team;National Team;Zambia;$45.1B;contact@erreà.com;1 641 804 130;https://www.erreà.com;
11;AY Sport;Football Club;National Team;Ghana;$36.8B;contact@ay sport.com;1 828 156 617;https://www.ay sport.com;
672;Adidas;Basketball Team;Sportswear;Zambia;$32.6B;contact@adidas.com;822 716 181;https://www.adidas.com;
466;Erreà;Basketball Team;National Team;Algeria;$49.2B;contact@erreà.com;1 485 691 593;https://www.erreà.com;
215;Le Coq Sportif;Football Club;Sportswear;Algeria;$6.9B;contact@le coq sportif.com;2 026 434 200;https://www.le coq sportif.com;
835;Adidas;Basketball Team;National Team;Uganda;$27.4B;contact@adidas.com;946 699 631;https://www.adidas.com;
515;Erreà;National Team;National Team;Uganda;$7.9B;contact@erreà.com;922 488 823;https://www.erreà.com;
386;Nike;Football Club;Sportswear;Algeria;$9.7B;contact@nike.com;344 237 894;https://www.nike.com;
960;Kappa;Basketball Team;Footwear;Uganda;$35.9B;contact@kappa.com;1 063 514 143;https://www.kappa.com;
125;Kappa;Basketball Team;Basketball;South Africa;$19.2B;contact@kappa.com;585 991 787;https://www.kappa.com;
920;Le Coq Sportif;Football Club;Sportswear;South Africa;$37.0B;contact@le coq sportif.com;1 008 716 208;https://www.le coq sportif.com;
339;Adidas;Basketball Team;National Team;Kenya;$24.2B;contact@adidas.com;548 092 893;https://www.adidas.com;
