ranking,club name,country,point score,1 year change
265,1º de Agosto,Angola,1512.0,11.0
2530,1º de Maio,Angola,1218.0,24.0
945,Abia Warriors,Nigeria,1354.0,151.0
2267,AC Mamahira,Mali,1241.0,37.0
1128,Academia F. Amadou Diallo,Ivory Coast,1332.0,256.0
1774,Académica do Soyo,Angola,1272.0,2.0
1963,Académica Lobito,Angola,1259.0,421.0
1591,Accra Great Olympics,Ghana,1288.0,114.0
2070,Accra Lions FC,Ghana,1252.0,37.0
2538,Adamawa United,Nigeria,1217.0,154.0
929,Aduana Stars,Ghana,1356.0,72.0
2215,Adzopé,Ivory Coast,1244.0,42.0
1234,Africa Sports National,Ivory Coast,1322.0,7.0
1450,Aigle Royal,Cameroon,1299.0,29.0
2117,Aïn Fakroun,Algeria,1250.0,47.0
1117,Ajax Cape Town,South Africa,1334.0,9.0
1843,Akokana,Niger,1268.0,10.0
1394,Akwa Starlets,Nigeria,1303.0,77.0
530,Akwa United,Nigeria,1428.0,49.0
2015,Al Ahli Khartoum,Sudan,1255.0,0.0
1509,Al Ahli Tripoli,Libya,1295.0,21.0
2361,Al Ahli Wad Medani,Sudan,1233.0,38.0
61,Al Ahly,Egypt,1683.0,15.0
1878,Al Ahly Benghazi,Libya,1265.0,8.0
2083,Al Ahly Merowe,Sudan,1252.0,0.0
791,Al Ahly Shendi,Sudan,1376.0,19.0
2400,Al Amir,Sudan,1230.0,30.0
2112,Al Fallah Atbara FC,Sudan,1250.0,50.0
1920,Al Hilal Kadougli,Sudan,1262.0,6.0
272,Al Hilal Omdurman,Sudan,1510.0,38.0
2344,Al Hilal Port Sudan,Sudan,1234.0,41.0
2555,Al Ittihad,Sudan,1215.0,23.0
835,Al Khartoum SC,Sudan,1369.0,14.0
762,Al Masry,Egypt,1381.0,305.0
1033,Al Mokawloon Al Arab,Egypt,1342.0,213.0
2472,Al Mourada,Sudan,1223.0,26.0
2419,Al Nasr FC,Egypt,1228.0,31.0
2579,Al Rabta Kosti,Sudan,1212.0,22.0
1991,Al Sharkeyah,Egypt,1257.0,3.0
2611,Al Shimali,Sudan,1206.0,16.0
2449,Al Shorta Al Qadarif,Sudan,1225.0,26.0
2206,Al-Ahli Atbara,Sudan,1244.0,39.0
848,Al-Ittihad,Libya,1367.0,13.0
1058,Al-Ittihad Al-Sakandary,Egypt,1340.0,66.0
2598,Al-Mergheni,Sudan,1209.0,17.0
329,Al-Merreikh,Sudan,1486.0,34.0
2616,Al-Nil,Sudan,1206.0,13.0
2681,Ala'ab Damanhour,Egypt,1190.0,9.0
2002,Alamal Atbara,Sudan,1256.0,2.0
2240,Alkali Nassara,Niger,1242.0,39.0
839,AmaZulu FC,South Africa,1369.0,25.0
2012,Amidaus Professionals FC,Ghana,1255.0,1.0
1149,Annaba,Algeria,1330.0,4.0
895,Apejes de Mfou,Cameroon,1360.0,55.0
1346,AS Aïn M'lila,Algeria,1308.0,209.0
2336,AS Avenir de Tombouctou,Mali,1235.0,39.0
1992,AS Bamako,Mali,1257.0,3.0
2491,AS Eliwidj FC,Mali,1221.0,30.0
872,AS Fortuna,Cameroon,1364.0,33.0
2135,AS Kasserine,Tunisia,1249.0,42.0
1729,AS Korofina,Mali,1277.0,0.0
1775,AS Matelots,Cameroon,1272.0,2.0
2184,AS Nianan,Mali,1246.0,43.0
2087,AS Police,Mali,1251.0,2.0
591,AS Réal Bamako,Mali,1415.0,7.0
1109,AS Rejiche,Tunisia,1335.0,5.0
1870,AS Salé,Morocco,1266.0,9.0
1145,AS Slimane,Tunisia,1330.0,18.0
1252,AS Tanda,Ivory Coast,1319.0,2.0
1975,AS-FAN,Niger,1259.0,2.0
493,Asante Kotoko,Ghana,1436.0,22.0
368,ASEC Mimosas,Ivory Coast,1471.0,95.0
1290,ASGNN,Niger,1315.0,5.0
856,Ashanti Gold FC,Ghana,1366.0,116.0
1561,ASI D'Abengourou,Ivory Coast,1290.0,165.0
2290,ASM Oran,Algeria,1239.0,44.0
860,ASO Chlef,Algeria,1366.0,318.0
649,Astres FC de Douala,Cameroon,1401.0,452.0
2355,Aswan FC,Egypt,1233.0,350.0
2186,Asyut Petrol,Egypt,1246.0,44.0
2608,Atar Club,Mali,1207.0,15.0
2201,Atlético do Namibe,Angola,1245.0,40.0
309,Atletico Petro Luanda,Angola,1492.0,247.0
1868,Atlético Sport Aviação,Angola,1266.0,9.0
1316,Avenir de La Marsa,Tunisia,1312.0,5.0
1402,Avion Fc Du Nkam,Cameroon,1303.0,247.0
2137,Azam,Tanzania,1249.0,42.0
1373,Bakaridjan de Barouéli,Mali,1306.0,6.0
765,Bamboutos,Cameroon,1381.0,62.0
2393,Bantu Rovers,Zimbabwe,1230.0,32.0
1884,Baroka FC,South Africa,1265.0,318.0
1497,Bayelsa United,Nigeria,1296.0,19.0
1396,Bechem United,Ghana,1303.0,335.0
949,Ben Guerdane,Tunisia,1354.0,156.0
1288,Bendel Insurance,Nigeria,1315.0,6.0
987,Benfica Luanda,Angola,1349.0,4.0
1894,Béni-Khalled,Tunisia,1264.0,3.0
1952,Berekum Arsenal,Ghana,1260.0,5.0
