id,ranking,club name,country,league,stadium,formation_preference,playing_style,market_budget,salary_budget,transfer_history,avg_transfer_fee_paid,avg_contract_length,verified_status,recruitment_priority,scouting_focus,profile_rating,sponsorship_deals,social_media_links
C-1,265,1o de Agosto,Angola,Girabola,Estadio 11 de Novembro,'3-4-2-1',North African Technical,3634855000.0,1453942000.0,"{""last_5_transfers"": [{""year"": 2021, ""player"": ""Player_309"", ""fee"": 1748933.16, ""type"": ""Out""}, {""year"": 2021, ""player"": ""Player_94"", ""fee"": 2891704.44, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_439"", ""fee"": 977711.08, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_149"", ""fee"": 458770.78, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_560"", ""fee"": 2074298.52, ""type"": ""In""}], ""total_spend"": 9175798.51, ""total_income"": 7954560.36}",523560.5389799951,3 years,True,Academy graduates,Asian market,5.87,"{""kit_sponsor"": ""Adidas"", ""main_sponsor"": ""Soci\u00e9t\u00e9 G\u00e9n\u00e9rale"", ""value"": ""925415 TND"", ""duration"": ""3 years""}","{""facebook"": ""facebook.com/club_5989"", ""twitter"": ""twitter.com/club_7549"", ""instagram"": ""instagram.com/club_1407""}"
C-2,2530,1o de Maio,Angola,Segunda Divisao,Estadio 11 de Novembro,'4-5-1',High Press,954001000.0,381600400.0,"{""last_5_transfers"": [{""year"": 2020, ""player"": ""Player_7"", ""fee"": 1049510.97, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_197"", ""fee"": 4780988.69, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_4"", ""fee"": 3102302.79, ""type"": ""Out""}, {""year"": 2022, ""player"": ""Player_628"", ""fee"": 2086626.88, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_500"", ""fee"": 2242347.41, ""type"": ""In""}], ""total_spend"": 8875047.5, ""total_income"": 6045470.91}",269316.3820510474,2 years,True,Young prospects,African talents,7.82,"{""kit_sponsor"": ""Umbro"", ""main_sponsor"": ""Al Baraka Bank"", ""value"": ""702286 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_8015"", ""twitter"": ""twitter.com/club_7504"", ""instagram"": ""instagram.com/club_9509""}"
C-3,945,Abia Warriors,Nigeria,Nigeria Professional Football League,Moshood Abiola National Stadium,'3-6-1',Tiki-Taka Adaptation,1161430000.0,464572000.0,"{""last_5_transfers"": [{""year"": 2019, ""player"": ""Player_159"", ""fee"": 4292979.22, ""type"": ""Out""}, {""year"": 2020, ""player"": ""Player_53"", ""fee"": 2875249.88, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_640"", ""fee"": 2955442.42, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_309"", ""fee"": 1317351.43, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_730"", ""fee"": 2427933.87, ""type"": ""Out""}], ""total_spend"": 7673106.81, ""total_income"": 7874161.44}",184675.71871255364,2 years,False,International players,Local academy,7.39,"{""kit_sponsor"": ""Macron"", ""main_sponsor"": ""Tunisie Telecom"", ""value"": ""324602 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_2626"", ""twitter"": ""twitter.com/club_9073"", ""instagram"": ""instagram.com/club_5595""}"
C-4,2267,AC Mamahira,Mali,Malian Premiere Division,Stade 26 Mars,'3-5-1-1',Defensive Structure,412650000.0,165060000.0,"{""last_5_transfers"": [{""year"": 2024, ""player"": ""Player_682"", ""fee"": 4873421.42, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_631"", ""fee"": 4569242.79, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_189"", ""fee"": 4284704.64, ""type"": ""Out""}, {""year"": 2021, ""player"": ""Player_95"", ""fee"": 1553401.2, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_739"", ""fee"": 1868172.69, ""type"": ""Out""}], ""total_spend"": 9557632.0, ""total_income"": 4553198.72}",307666.3741210743,4 years,False,Local talent,European market,0.47,"{""kit_sponsor"": ""Hummel"", ""main_sponsor"": ""Vitalait"", ""value"": ""602836 TND"", ""duration"": ""5 years""}","{""facebook"": ""facebook.com/club_5262"", ""twitter"": ""twitter.com/club_2037"", ""instagram"": ""instagram.com/club_6131""}"
C-5,1128,Academia F. Amadou Diallo,Ivory Coast,Ligue 2,Stade Olympique Alassane Ouattara,'3-3-3-1',Tiki-Taka Adaptation,2912799000.0,1165119600.0,"{""last_5_transfers"": [{""year"": 2020, ""player"": ""Player_967"", ""fee"": 3128669.2, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_531"", ""fee"": 3931128.55, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_401"", ""fee"": 4604841.05, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_933"", ""fee"": 901610.67, ""type"": ""In""}, {""year"": 2021, ""player"": ""Player_871"", ""fee"": 1451505.23, ""type"": ""Out""}], ""total_spend"": 1644849.9, ""total_income"": 2115816.53}",699152.8218712634,2 years,False,Proven professionals,Local academy,8.85,"{""kit_sponsor"": ""Kappa"", ""main_sponsor"": ""Samsung"", ""value"": ""504225 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_4578"", ""twitter"": ""twitter.com/club_2497"", ""instagram"": ""instagram.com/club_3260""}"
C-6,1774,Academica do Soyo,Angola,Segunda Divisao,Estadio 11 de Novembro,'5-4-1',Total Football,3055183000.0,1222073200.0,"{""last_5_transfers"": [{""year"": 2023, ""player"": ""Player_825"", ""fee"": 4577264.64, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_267"", ""fee"": 2603489.7, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_819"", ""fee"": 1220479.21, ""type"": ""In""}, {""year"": 2019, ""player"": ""Player_21"", ""fee"": 4429456.6, ""type"": ""Out""}, {""year"": 2020, ""player"": ""Player_998"", ""fee"": 938483.71, ""type"": ""Out""}], ""total_spend"": 3259722.78, ""total_income"": 4372127.23}",217031.8627567824,2 years,False,Academy graduates,African talents,2.31,"{""kit_sponsor"": ""New Balance"", ""main_sponsor"": ""Turkish Airlines"", ""value"": ""110845 TND"", ""duration"": ""5 years""}","{""facebook"": ""facebook.com/club_9446"", ""twitter"": ""twitter.com/club_4870"", ""instagram"": ""instagram.com/club_3542""}"
C-7,1963,Academica Lobito,Angola,Segunda Divisao,Estadio 11 de Novembro,'3-5-2',Quick Counter-attacks,2048498000.0,819399200.0,"{""last_5_transfers"": [{""year"": 2024, ""player"": ""Player_213"", ""fee"": 1829333.05, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_451"", ""fee"": 3723654.13, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_544"", ""fee"": 1295331.04, ""type"": ""Out""}, {""year"": 2022, ""player"": ""Player_64"", ""fee"": 3186519.99, ""type"": ""Out""}, {""year"": 2023, ""player"": ""Player_749"", ""fee"": 4002593.29, ""type"": ""Out""}], ""total_spend"": 6960891.45, ""total_income"": 3725733.46}",859405.8219256887,2 years,True,Local talent,European market,0.63,"{""kit_sponsor"": ""Joma"", ""main_sponsor"": ""Carrefour"", ""value"": ""895305 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_2806"", ""twitter"": ""twitter.com/club_5874"", ""instagram"": ""instagram.com/club_2238""}"
C-8,1591,Accra Great Olympics,Ghana,Ghana Premier League,Baba Yara Stadium,'4-3-1-2',Wing Play,22034000.0,8813600.0,"{""last_5_transfers"": [{""year"": 2020, ""player"": ""Player_75"", ""fee"": 594999.08, ""type"": ""In""}, {""year"": 2023, ""player"": ""Player_687"", ""fee"": 2683451.53, ""type"": ""In""}, {""year"": 2019, ""player"": ""Player_247"", ""fee"": 4462804.37, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_637"", ""fee"": 645736.02, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_56"", ""fee"": 186010.04, ""type"": ""In""}], ""total_spend"": 7191681.86, ""total_income"": 4167626.81}",914553.9648726552,3 years,False,Experienced players,Asian market,9.68,"{""kit_sponsor"": ""Hummel"", ""main_sponsor"": ""Soci\u00e9t\u00e9 G\u00e9n\u00e9rale"", ""value"": ""509417 TND"", ""duration"": ""1 years""}","{""facebook"": ""facebook.com/club_7071"", ""twitter"": ""twitter.com/club_9191"", ""instagram"": ""instagram.com/club_9206""}"
C-9,2070,Accra Lions FC,Ghana,Division One League,Baba Yara Stadium,'5-4-1',Possession-based,18251000.0,7300400.0,"{""last_5_transfers"": [{""year"": 2020, ""player"": ""Player_371"", ""fee"": 2863232.13, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_593"", ""fee"": 203983.25, ""type"": ""Out""}, {""year"": 2019, ""player"": ""Player_736"", ""fee"": 4099209.61, ""type"": ""Out""}, {""year"": 2022, ""player"": ""Player_649"", ""fee"": 412900.38, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_105"", ""fee"": 1264654.25, ""type"": ""Out""}], ""total_spend"": 5517688.41, ""total_income"": 7534107.93}",608155.2895961909,3 years,False,Local talent,South American prospects,7.54,"{""kit_sponsor"": ""Nike"", ""main_sponsor"": ""Mercedes"", ""value"": ""469891 TND"", ""duration"": ""5 years""}","{""facebook"": ""facebook.com/club_9958"", ""twitter"": ""twitter.com/club_8661"", ""instagram"": ""instagram.com/club_8419""}"
C-10,2538,Adamawa United,Nigeria,Nigeria National League,Moshood Abiola National Stadium,'4-3-1-2',Attacking Overload,1280944000.0,512377600.0,"{""last_5_transfers"": [{""year"": 2021, ""player"": ""Player_55"", ""fee"": 210845.87, ""type"": ""Out""}, {""year"": 2024, ""player"": ""Player_456"", ""fee"": 2701469.82, ""type"": ""In""}, {""year"": 2022, ""player"": ""Player_224"", ""fee"": 1957141.41, ""type"": ""In""}, {""year"": 2020, ""player"": ""Player_158"", ""fee"": 4756846.76, ""type"": ""In""}, {""year"": 2024, ""player"": ""Player_959"", ""fee"": 1816155.25, ""type"": ""In""}], ""total_spend"": 5012880.99, ""total_income"": 1186969.99}",696211.1493640003,2 years,False,Academy graduates,African talents,8.58,"{""kit_sponsor"": ""Kappa"", ""main_sponsor"": ""Turkish Airlines"", ""value"": ""525041 TND"", ""duration"": ""4 years""}","{""facebook"": ""facebook.com/club_3565"", ""twitter"": ""twitter.com/club_8300"", ""instagram"": ""instagram.com/club_1959""}"
