brand_id,brand_name,sponsorship_deals,product_types,location,annual_revenue,contact_email,phone_number,website
Br-1,AY Sport,Football Club,Football Club,Algeria,$26.2B,contact@ay sport.com,958 993 340,https://www.ay sport.com
Br-2,AY Sport,National Team,Footwear,Uganda,$8.0B,contact@ay sport.com,219 435 632,https://www.ay sport.com
Br-3,AY Sport,National Team,Basketball,Tunisia,$41.4B,contact@ay sport.com,398 512 518,https://www.ay sport.com
Br-4,AY Sport,National Team,Basketball,Nigeria,$11.4B,contact@ay sport.com,2 532 597 333,https://www.ay sport.com
Br-5,AY Sport,National Team,National Team,Tanzania,$11.8B,0,1 974 596 775,https://www.ay sport.com
Br-6,AY Sport,National Team,National Team,Senegal,$33.8B,contact@ay sport.com,1 694 767 742,https://www.ay sport.com
Br-7,AY Sport,National Team,Football Club,Algeria,$31.6B,contact@ay sport.com,1 971 575 127,https://www.ay sport.com
Br-8,AY Sport,Football Club,Basketball,Algeria,$41.2B,contact@ay sport.com,1 669 756 512,https://www.ay sport.com
Br-9,AY Sport,Football Club,Football Club,Uganda,$45.1B,contact@ay sport.com,1 173 476 654,https://www.ay sport.com
Br-10,AY Sport,Football Club,Footwear,South Africa,$21.1B,contact@ay sport.com,2 344 252 345,https://www.ay sport.com
Br-11,AY Sport,Basketball Team,Footwear,Ghana,$16.6B,contact@ay sport.com,1 097 665 154,https://www.ay sport.com
Br-12,AY Sport,National Team,National Team,Tanzania,$49.0B,contact@ay sport.com,278 067 789,https://www.ay sport.com
Br-13,AY Sport,National Team,Footwear,Kenya,$19.0B,contact@ay sport.com,1 267 204 343,https://www.ay sport.com
Br-14,AY Sport,Basketball Team,Footwear,Nigeria,$20.4B,contact@ay sport.com,505 073 339,https://www.ay sport.com
Br-15,AY Sport,Football Club,Footwear,Ghana,$41.1B,contact@ay sport.com,1 888 784 021,https://www.ay sport.com
Br-16,AY Sport,Football Club,National Team,Ghana,$44.2B,contact@ay sport.com,2 383 783 183,https://www.ay sport.com
Br-17,AY Sport,Basketball Team,National Team,Algeria,$29.7B,contact@ay sport.com,2 374 155 119,https://www.ay sport.com
Br-18,AY Sport,Basketball Team,Football Club,Egypt,$25.5B,contact@ay sport.com,1 483 783 380,https://www.ay sport.com
Br-19,AY Sport,Basketball Team,National Team,Algeria,$17.6B,contact@ay sport.com,2 071 576 605,https://www.ay sport.com
Br-20,AY Sport,National Team,Football Club,Senegal,$18.5B,contact@ay sport.com,1 727 413 714,https://www.ay sport.com
Br-21,AY Sport,Basketball Team,Sportswear,Algeria,$29.8B,contact@ay sport.com,2 085 169 589,https://www.ay sport.com
Br-22,AY Sport,National Team,Basketball,Nigeria,$21.0B,contact@ay sport.com,1 077 669 834,https://www.ay sport.com
Br-23,AY Sport,Basketball Team,Sportswear,Kenya,$44.8B,contact@ay sport.com,818 415 477,https://www.ay sport.com
Br-24,AY Sport,National Team,Sportswear,Zambia,$24.1B,contact@ay sport.com,1 071 824 252,https://www.ay sport.com
Br-25,AY Sport,Basketball Team,Footwear,Algeria,$30.0B,contact@ay sport.com,1 721 643 786,https://www.ay sport.com
Br-26,AY Sport,Football Club,Sportswear,Senegal,$36.8B,contact@ay sport.com,977 279 563,https://www.ay sport.com
Br-27,AY Sport,National Team,National Team,Zambia,$37.6B,contact@ay sport.com,1 834 451 582,https://www.ay sport.com
Br-28,AY Sport,Football Club,Footwear,Tunisia,$45.1B,contact@ay sport.com,405 839 676,https://www.ay sport.com
Br-29,AY Sport,Football Club,Footwear,Tunisia,$38.4B,contact@ay sport.com,1 544 586 419,https://www.ay sport.com
Br-30,AY Sport,Basketball Team,Sportswear,South Africa,$41.9B,contact@ay sport.com,1 334 269 488,https://www.ay sport.com
Br-31,AY Sport,Football Club,Basketball,Egypt,$41.6B,contact@ay sport.com,684 551 182,https://www.ay sport.com
Br-32,AY Sport,National Team,Footwear,South Africa,$10.4B,contact@ay sport.com,296 812 353,https://www.ay sport.com
Br-33,AY Sport,Basketball Team,Basketball,Kenya,$9.9B,contact@ay sport.com,2 016 798 397,https://www.ay sport.com
Br-34,AY Sport,Basketball Team,National Team,Algeria,$33.2B,contact@ay sport.com,838 907 910,https://www.ay sport.com
Br-35,AY Sport,National Team,National Team,Algeria,$49.3B,contact@ay sport.com,1 361 002 538,https://www.ay sport.com
Br-36,AY Sport,National Team,Sportswear,Nigeria,$48.5B,contact@ay sport.com,1 577 687 195,https://www.ay sport.com
Br-37,AY Sport,Football Club,National Team,Tanzania,$22.2B,contact@ay sport.com,2 438 197 134,https://www.ay sport.com
Br-38,AY Sport,Football Club,Football Club,Nigeria,$46.3B,contact@ay sport.com,1 849 254 697,https://www.ay sport.com
Br-39,AY Sport,Football Club,Footwear,Uganda,$14.5B,contact@ay sport.com,1 314 542 724,https://www.ay sport.com
Br-40,AY Sport,Football Club,National Team,Zambia,$13.0B,contact@ay sport.com,1 149 674 460,https://www.ay sport.com
Br-41,AY Sport,Basketball Team,Football Club,Uganda,$24.3B,contact@ay sport.com,2 415 595 053,https://www.ay sport.com
Br-42,AY Sport,Football Club,Basketball,Egypt,$7.3B,contact@ay sport.com,1 619 046 476,https://www.ay sport.com
Br-43,AY Sport,National Team,National Team,Senegal,$44.1B,contact@ay sport.com,815 327 365,https://www.ay sport.com
Br-44,AY Sport,National Team,Footwear,Nigeria,$24.1B,contact@ay sport.com,1 651 564 906,https://www.ay sport.com
Br-45,AY Sport,Basketball Team,Sportswear,Algeria,$22.5B,contact@ay sport.com,1 363 649 447,https://www.ay sport.com
Br-46,AY Sport,Basketball Team,National Team,South Africa,$22.1B,contact@ay sport.com,2 496 214 817,https://www.ay sport.com
Br-47,AY Sport,Football Club,Basketball,Senegal,$19.6B,contact@ay sport.com,1 611 385 794,https://www.ay sport.com
Br-48,AY Sport,Football Club,Basketball,Algeria,$32.7B,contact@ay sport.com,677 577 228,https://www.ay sport.com
Br-49,AY Sport,Football Club,National Team,Ghana,$36.8B,contact@ay sport.com,1 828 156 617,https://www.ay sport.com
Br-50,AY Sport,National Team,Basketball,Egypt,$11.3B,contact@ay sport.com,1 147 784 411,https://www.ay sport.com
Br-51,AY Sport,Football Club,Basketball,Tanzania,$17.6B,contact@ay sport.com,1 316 068 142,https://www.ay sport.com
Br-52,AY Sport,Basketball Team,Basketball,Algeria,$7.8B,contact@ay sport.com,1 283 111 143,https://www.ay sport.com
