sponsor_id,company_name,industry,sponsorship_deals,contract_value,contract_duration,advertising_channels,location,contact_email,phone_number,website
1,TotalEnergies,Energy,Title sponsor of CAF competitions,50000000.0,2016-2024,"TV, Radio, Online","Paris, France",contact@totalenergies.com,+33 1 47 44 45 46,https://totalenergies.com
2,MTN Group,Telecommunications,Sponsor of various African national teams and tournaments,20000000.0,2018-2025,"TV, Social Media, Stadium Boards","Johannesburg, South Africa",info@mtn.com,+27 83 123 4567,https://www.mtn.com/
3,Nike,Sportswear,Official kit supplier for top football clubs,75000000.0,Ongoing,"TV, Online, Sponsorship Deals","Beaverton, USA",support@nike.com,+1 503 671 6453,https://www.nike.com/
4,Coca-Cola,Beverages,Official FIFA World Cup Sponsor,100000000.0,2014-2026,"TV, Online, Stadium Branding","Atlanta, USA",support@coca-cola.com,+1 800 438 2653,https://www.coca-cola.com/
5,Vodacom,Telecommunications,Official Sponsor of South African Football League,30000000.0,2019-2025,"TV, Online, Mobile Apps","Johannesburg, South Africa",info@vodacom.com,+27 82 111 2222,https://www.vodacom.com/
6,PepsiCo,Beverages & Snacks,Global Football Sponsorship Partner,120000000.0,2020-2028,"TV, Digital Ads, Social Media Campaigns","New York, USA",contact@pepsico.com,+1 800 433 2652,https://www.pepsico.com/
7,Huawei,Technology,Sponsor of Top European Football Clubs,50000000.0,2017-2025,"TV, Social Media, Stadium Advertisements","Shenzhen, China",support@huawei.com,+86 755 2878 0808,https://www.huawei.com/
8,Puma,Sportswear,Official sponsor of multiple African national teams,65000000.0,2018-2026,"TV, Online, Stadium Boards","Herzogenaurach, Germany",info@puma.com,+49 9132 81 0,https://www.puma.com/
9,Guinness,Beverages,Official partner of African football events,25000000.0,2017-2025,"TV, Social Media, Billboards","Dublin, Ireland",support@guinness.com,+353 1 453 6700,https://www.guinness.com/
10,Orange,Telecommunications,Official sponsor of CAF competitions,80000000.0,2015-2026,"TV, Online, Stadium Sponsorship","Paris, France",contact@orange.com,+33 1 44 44 22 22,https://www.orange.com/
11,Heineken,Beverages,"Global football sponsorship partner, including UEFA Champions League",150000000.0,2014-2028,"TV, Digital, Stadium Branding","Amsterdam, Netherlands",info@heineken.com,+31 20 523 9239,https://www.heineken.com/
12,Adidas,Sportswear,Official kit provider for multiple clubs and national teams,90000000.0,2019-2027,"TV, Online, Retail Partnerships","Herzogenaurach, Germany",contact@adidas.com,+49 9132 84 0,https://www.adidas.com/
13,Betway,Sports Betting,Official betting partner of major football leagues,30000000.0,2021-2026,"TV, Online, Social Media Ads","London, UK",support@betway.com,+44 20 7093 3322,https://www.betway.com/
14,Peugeot,Automotive,Official partner of football federations and clubs,45000000.0,2020-2028,"TV, Social Media, Billboard Ads","Paris, France",info@peugeot.com,+33 1 40 66 55 11,https://www.peugeot.com/
15,Standard Chartered,Banking & Financial Services,Main sponsor of Liverpool FC,100000000.0,2018-2027,"TV, Online, Financial Partnerships","London, UK",support@sc.com,+44 20 7885 8888,https://www.sc.com/
16,MTN Group,Telecommunications,Official sponsor of CAF competitions and African leagues,85000000.0,2016-2026,"TV, Online, Social Media, Stadium Branding","Johannesburg, South Africa",info@mtn.com,+27 11 912 3000,https://www.mtn.com/
17,Dangote Group,"Conglomerate (Cement, Food, Energy)",Corporate sponsor for Nigerian football development,60000000.0,2019-2028,"TV, Social Media, Billboards, Stadium Naming Rights","Lagos, Nigeria",contact@dangote.com,+234 1 448 0815,https://www.dangote.com/
18,TotalEnergies,Energy & Petroleum,Title sponsor of CAF African Cup of Nations,120000000.0,2017-2028,"TV, Digital, Outdoor, In-Stadium","Paris, France",corporate@totalenergies.com,+33 1 47 44 45 46,https://totalenergies.com/
19,Castel Group,Beverages (Beer & Soft Drinks),Sponsor of African football leagues & CAF events,50000000.0,2021-2027,"TV, Digital, Print Media, Event Sponsorship","Douala, Cameroon",contact@castel-afrique.com,+237 233 42 12 34,https://www.castel-afrique.com/
20,EcoBank,Banking & Financial Services,Official banking partner for African football initiatives,45000000.0,2020-2028,"TV, Online Banking Ads, Event Partnerships","Lomé, Togo",support@ecobank.com,+228 22 21 03 03,https://www.ecobank.com/
21,Safaricom,Telecommunications,Official partner for grassroots football development in Kenya,30000000.0,2019-2026,"TV, Online, Mobile Ads, Stadium Branding","Nairobi, Kenya",support@safaricom.co.ke,+254 722 002100,https://www.safaricom.co.ke/
22,Nestlé,Food & Beverages,Football talent development sponsorship across Africa,70000000.0,2021-2029,"TV, Social Media, Print, Youth Tournament Sponsorships","Vevey, Switzerland",corporate@nestle.com,+41 21 924 1111,https://www.nestle.com/
23,Nando’s,Restaurant & Fast Food,Official food partner for South African football clubs,25000000.0,2022-2027,"TV, In-Restaurant Promotions, Social Media","Johannesburg, South Africa",support@nandos.co.za,+27 11 463 2500,https://www.nandos.com/
24,PepsiCo Africa,Beverages,Official sponsor of African youth football programs,80000000.0,2018-2028,"TV, Social Media, Billboards, Sports Events","Cairo, Egypt",info@pepsico.com,+20 2 2524 8484,https://www.pepsico.com/
25,Orange,Telecommunications,Title sponsor of the Orange CAF Champions League,120000000.0,2015-2027,"TV, Digital, Print, Stadium Branding","Paris, France",corporate@orange.com,+33 1 44 44 22 22,https://www.orange.com/
26,Standard Bank Group,Banking & Financial Services,Official banking partner of South African football,75000000.0,2019-2029,"TV, Online, Stadium Signage","Johannesburg, South Africa",info@standardbank.com,+27 11 636 9111,https://www.standardbank.com/
27,Puma Africa,Sports Apparel,Official kit supplier for African national teams,50000000.0,2020-2028,"Retail Stores, Digital, Print, TV Ads","Cape Town, South Africa",africa@puma.com,+27 21 550 1800,https://www.puma.com/
28,Coca-Cola Africa,Beverages,FIFA World Cup African partner and local league sponsor,150000000.0,2010-2030,"TV, Online, Print, Stadium Branding","Nairobi, Kenya",info@coca-cola.com,+254 20 3226000,https://www.coca-cola.com/
