agency_id,agency_name,services_offered,top_clients,region,contact_email,phone_number
1,Stellar Group,"Player representation, contract negotiation, legal advisory","Gareth Bale, Jack Grealish","United Kingdom, Europe, Africa",info@stellargroup.co.uk,+44 20 7898 1234
2,CAA Sports,"Player transfers, sponsorship deals, media rights","Cristiano Ronaldo, Paul Pogba",Global,contact@caa.com,+1 310 888 1234
3,ROGON Sport Management,"Career development, club negotiations, legal advisory","Roberto Firmino, Julian Draxler","Germany, Africa",info@rogon.de,+49 621 1789 4567
4,Base Soccer Agency,"Player transfers, sponsorship deals, contract negotiations","Kyle Walker, James Maddison","United Kingdom, Africa",info@basesoccer.com,+44 20 7499 1111
5,Sport Invest Africa,"Football management, scouting, media representation","Patson Daka, Sadio Mané","South Africa, Zambia, Senegal",contact@sportinvestafrica.com,+27 11 456 7890
6,Mino Raiola Sports Agency,"Contract negotiations, club transfers, legal advisory","Erling Haaland, Gianluigi Donnarumma","Italy, Europe, Africa",info@raiolaagency.com,+39 02 1234 5678
7,Sports Entertainment Group (SEG),"Career planning, sponsorships, financial advisory","Memphis Depay, Daley Blind","Netherlands, Africa",info@seginternational.com,+31 20 345 6789
8,Prospect Sports Management,"Club negotiations, talent scouting, branding","Alex Iwobi, Samuel Chukwueze","Nigeria, Ghana, Africa",support@prospectsm.com,+234 1 2345 6789
9,Pro Eleven Management,"Player transfers, contract deals, branding","Rafael Leão, João Félix","Portugal, Africa",info@proeleven.com,+351 21 345 6789
10,Sports Nation Talent Group,"Sponsorship management, media relations, athlete marketing","Mohamed Salah, Kalidou Koulibaly","Egypt, North Africa",info@sportnationtalent.com,+20 2 9876 5432
11,Elite Sports Agency,"Talent scouting, financial management, player branding","Achraf Hakimi, Youssef En-Nesyri","Morocco, Africa",contact@elitesports.ma,+212 5 6789 0123
12,Lian Sports Agency,"Player representation, branding, sponsorships","Sergej Milinković-Savić, Luka Jović","Serbia, Europe, Africa",info@liansports.com,+381 11 4567 8900
13,Football Business Agency,"Athlete marketing, legal advisory, career development","Victor Osimhen, Pierre-Emerick Aubameyang","France, Africa",contact@footballbusiness.com,+33 1 234 5678
14,SPOCS Sports Consultants,"Scouting, player transfers, legal advisory","Sebastien Haller, Andre Onana","Ivory Coast, Cameroon, Africa",info@spocs.com,+225 21 345 6789
15,MSM Sports,"Talent scouting, player branding, contract negotiations","Wilfried Zaha, Jean-Philippe Gbamin","Ivory Coast, France, Africa",contact@msmsports.com,+33 1 456 7890
16,DW Sports Management,"Career development, legal representation, media management","Alexandre Lacazette, Nabil Fekir","France, Africa",info@dwsports.fr,+33 1 234 5678
17,Elite Sports Agency Ghana,"Scouting, contract negotiations, sponsorship management","Thomas Partey, Jordan Ayew","Ghana, Africa",support@elitesportsghana.com,+233 30 456 7890
18,Sunset Sports Management,"Football recruitment, agent services, legal advisory","Odion Ighalo, Kenneth Omeruo","Nigeria, Africa",info@sunsetsports.com,+234 809 456 7890
19,NVA Sports & Entertainment,"Player marketing, endorsements, media training","Eric Bailly, Sofiane Boufal","Côte d'Ivoire, Morocco, Africa",contact@nvasports.com,+212 6 7890 1234
20,Prosport Management Africa,"Club negotiations, scouting, career management","Percy Tau, Keagan Dolly","South Africa, Zimbabwe, Africa",info@prosportafrica.com,+27 11 345 6789
21,Roc Nation Sports,"Brand partnerships, player promotions, media management","Romelu Lukaku, Kevin De Bruyne","Global, including Africa",info@rocnationsports.com,+1 212 567 8900
22,African Talents Management,"Football scouting, club deals, sponsorships","Victor Osimhen, Samuel Chukwueze","Nigeria, Ghana, Africa",contact@africantalents.com,+234 1 234 5678
23,Legendary Sports Group,"Endorsement deals, player promotions, contract advisory","Mohamed Elneny, Trezeguet","Egypt, Africa",info@legendarysports.com,+20 2 678 9012
24,Prime Agency Sports,"Club negotiations, brand sponsorships, career management","Patson Daka, Yves Bissouma","Zambia, Mali, Africa",info@primeagencysports.com,+260 21 789 0123
25,Baysports Agency,"Player branding, legal representation, financial planning","Bongani Zungu, Khama Billiat","South Africa, Zimbabwe, Africa",contact@baysports.com,+27 12 345 6789
26,MVP Sports Group,"Sponsorship management, PR services, contract negotiations","Raheem Sterling, Leroy Sané","United Kingdom, Europe, Africa",info@mvpsports.com,+44 203 567 8901
27,Gold Sports Agency,"Talent scouting, sponsorship deals, financial planning","Wilfried Ndidi, Taiwo Awoniyi","Nigeria, Africa",contact@goldsports.com,+234 802 345 6789
28,First Eleven Management,"Contract negotiations, club transfers, brand endorsements","Mahmoud Trezeguet, Romain Saïss","Egypt, Morocco, Africa",info@firsteleven.com,+20 1 567 8902
29,Global Soccer Management,"Football scouting, agent representation, sponsorship acquisition","Seko Fofana, Youcef Atal","Ivory Coast, Algeria, Africa",support@globalsoccer.com,+225 30 456 7890
30,NextGen Sports Agency,"Talent development, financial advisory, contract negotiations","Samuel Chukwueze, Ismaila Sarr","Senegal, Nigeria, Africa",info@nextgensports.com,+221 77 890 1234
31,Evolution Sports Management,"Athlete branding, marketing, contract advisory","Achraf Hakimi, Sofyan Amrabat","Morocco, Africa",contact@evolutionsports.com,+212 5 6789 4321
32,Premier Football Agency,"Sponsorship deals, club negotiations, scouting reports","Franck Kessié, Edmond Tapsoba","Burkina Faso, Ivory Coast, Africa",info@premierfa.com,+226 20 987 6543
33,Apex Sports Consulting,"Media rights, player promotions, financial advisory","André-Frank Zambo Anguissa, Mohammed Kudus","Ghana, Cameroon, Africa",support@apexsports.com,+233 24 345 6789
34,Champion Sports Agency,"Contract negotiations, club scouting, sponsorship acquisition","Sadio Mané, Yves Bissouma","Senegal, Mali, Africa",info@championsports.com,+221 78 456 7890
35,Elite Players Agency,"Player transfers, legal representation, financial planning","Victor Osimhen, Chancel Mbemba","Nigeria, DR Congo, Africa",contact@eliteplayers.com,+234 1 2345 6789
36,One Goal Sports Management,"Scouting, club negotiations, media relations","Patson Daka, Tino Kadewere","Zambia, Zimbabwe, Africa",info@onegoal.com,+260 21 6789 4321
37,True Talent Sports,"Branding, contract advisory, financial management","Naby Keita, Boulaye Dia","Guinea, Senegal, Africa",contact@truetalentsports.com,+224 30 7890 1234
38,Peak Performance Agency,"Sponsorship deals, club scouting, talent development","Karl Toko Ekambi, Edson Álvarez","Cameroon, Africa",info@peakperformance.com,+237 75 6789 3210
39,PowerPlay Sports Agency,"Player endorsements, sponsorship management, career planning","Hamari Traoré, Moussa Djenepo","Mali, Africa",support@powerplaysports.com,+223 65 7890 1234
40,Tactical Talent Agency,"Football analytics, scouting, contract negotiations","Brahim Diaz, Amadou Onana","Belgium, Spain, Africa",info@tacticaltalent.com,+32 2 6789 4321
27,Gold Sports Agency,"Talent scouting, sponsorship deals, financial planning","Wilfried Ndidi, Taiwo Awoniyi","Nigeria, Africa",contact@goldsports.com,+234 802 345 6789
28,First Eleven Management,"Contract negotiations, club transfers, brand endorsements","Mahmoud Trezeguet, Romain Saïss","Egypt, Morocco, Africa",info@firsteleven.com,+20 1 567 8902
29,Global Soccer Management,"Football scouting, agent representation, sponsorship acquisition","Seko Fofana, Youcef Atal","Ivory Coast, Algeria, Africa",support@globalsoccer.com,+225 30 456 7890
30,NextGen Sports Agency,"Talent development, financial advisory, contract negotiations","Samuel Chukwueze, Ismaila Sarr","Senegal, Nigeria, Africa",info@nextgensports.com,+221 77 890 1234
31,Evolution Sports Management,"Athlete branding, marketing, contract advisory","Achraf Hakimi, Sofyan Amrabat","Morocco, Africa",contact@evolutionsports.com,+212 5 6789 4321
32,Premier Football Agency,"Sponsorship deals, club negotiations, scouting reports","Franck Kessié, Edmond Tapsoba","Burkina Faso, Ivory Coast, Africa",info@premierfa.com,+226 20 987 6543
33,Apex Sports Consulting,"Media rights, player promotions, financial advisory","André-Frank Zambo Anguissa, Mohammed Kudus","Ghana, Cameroon, Africa",support@apexsports.com,+233 24 345 6789
34,Champion Sports Agency,"Contract negotiations, club scouting, sponsorship acquisition","Sadio Mané, Yves Bissouma","Senegal, Mali, Africa",info@championsports.com,+221 78 456 7890
35,Elite Players Agency,"Player transfers, legal representation, financial planning","Victor Osimhen, Chancel Mbemba","Nigeria, DR Congo, Africa",contact@eliteplayers.com,+234 1 2345 6789
36,One Goal Sports Management,"Scouting, club negotiations, media relations","Patson Daka, Tino Kadewere","Zambia, Zimbabwe, Africa",info@onegoal.com,+260 21 6789 4321
37,True Talent Sports,"Branding, contract advisory, financial management","Naby Keita, Boulaye Dia","Guinea, Senegal, Africa",contact@truetalentsports.com,+224 30 7890 1234
38,Peak Performance Agency,"Sponsorship deals, club scouting, talent development","Karl Toko Ekambi, Edson Álvarez","Cameroon, Africa",info@peakperformance.com,+237 75 6789 3210
39,PowerPlay Sports Agency,"Player endorsements, sponsorship management, career planning","Hamari Traoré, Moussa Djenepo","Mali, Africa",support@powerplaysports.com,+223 65 7890 1234
40,Tactical Talent Agency,"Football analytics, scouting, contract negotiations","Brahim Diaz, Amadou Onana","Belgium, Spain, Africa",info@tacticaltalent.com,+32 2 6789 4321
41,Prime Sports Management,"Contract negotiations, media management, sponsorship acquisition","Riyad Mahrez, Islam Slimani","Algeria, North Africa",info@primesports.com,+213 21 6789 1234
42,Dynamic Sports Group,"Talent scouting, club partnerships, player marketing","Jean Michaël Seri, Eric Maxim Choupo-Moting","Cameroon, Ivory Coast, Africa",contact@dynamicsports.com,+237 99 8765 4321
43,Limitless Sports Agency,"Football recruitment, sponsorship negotiations, legal advisory","Emmanuel Dennis, Wilfried Singo","Nigeria, Ivory Coast, Africa",info@limitlesssports.com,+234 809 567 2345
44,International Football Consultants,"Player representation, contract advisory, PR & media handling","Jonathan Bamba, Cédric Bakambu","France, DR Congo, Africa",support@ifcfootball.com,+33 1 9876 5432
45,Victory Sports Management,"Sponsorship acquisitions, financial planning, branding","Pape Matar Sarr, Habib Diallo","Senegal, Africa",info@victorysports.com,+221 75 2345 6789
46,Summit Global Sports,"Football analytics, scouting, sponsorship management","Mohamed Camara, Yves Bissouma","Mali, Africa",contact@summitglobalsports.com,+223 65 7890 4321
47,One Touch Sports,"Career management, club negotiations, brand development","Patson Daka, Bongani Zungu","Zambia, South Africa, Africa",info@onetouchsports.com,+260 21 7890 5678
48,African Elite Management,"Talent scouting, sponsorship marketing, club negotiations","Moses Simon, Chidozie Awaziem","Nigeria, Africa",support@africanelite.com,+234 1 6789 4321
49,Titan Sports Agency,"Club scouting, branding, financial management","Victor Boniface, El Bilal Touré","Ghana, Mali, Africa",contact@titansports.com,+233 20 4567 7890
50,Next Level Sports Management,"Football contracts, media representation, sponsorships","Moussa Diaby, Cheick Doucouré","France, Mali, Africa",info@nextlevelsports.com,+33 1 2345 6789
51,Top Talent Sports Management,"Scouting, player representation, sponsorship management","Saïd Benrahma, Ismaël Bennacer","Algeria, Africa",info@toptalentsports.com,+213 21 2345 6789
52,Victory International Sports,"Career advisory, financial planning, club negotiations","Boubacar Kamara, Maxwel Cornet","Ivory Coast, Senegal, France",contact@victorysports.com,+225 20 6789 4321
53,Future Stars Agency,"Youth scouting, contract negotiations, career development","Mohamed Bayo, Sekou Koita","Guinea, Mali, Africa",info@futurestarsagency.com,+224 30 5678 9012
54,First Wave Sports,"Player branding, PR management, sponsorship acquisition","Kamaldeen Sulemana, Lassina Traoré","Burkina Faso, Ghana, Africa",support@firstwavesports.com,+233 24 345 6789
55,Elite Level Sports Management,"Club partnerships, financial advisory, scouting","Hamed Traoré, Jean Onana","Ivory Coast, Cameroon, Africa",info@elitelevelsports.com,+225 30 6789 1234
56,Prestige Football Agency,"Career mentorship, media handling, contract advisory","Eberechi Eze, Faitout Maouassa","Nigeria, DR Congo, Africa",contact@prestigefootball.com,+234 80 5678 4321
57,Game Changers Sports Agency,"Talent development, marketing, sponsorship negotiations","Taiwo Awoniyi, Terem Moffi","Nigeria, France, Africa",info@gamechangers.com,+234 70 3456 7890
58,Platinum Sports Management,"Football analytics, branding, club negotiations","Dango Ouattara, Mohamed Simakan","Burkina Faso, France, Africa",support@platinumsports.com,+226 20 6789 4321
59,Legends of the Game Agency,"Player mentoring, sponsorship deals, financial advising","Boulaye Dia, Moses Simon","Senegal, Nigeria, Africa",contact@legendsagency.com,+221 78 3456 7890
60,Infinity Sports Group,"Talent representation, media handling, legal advisory","Ismail Jakobs, Bouna Sarr","Senegal, Mali, Africa",info@infinitysports.com,+223 75 2345 6789
51,Top Talent Sports Management,"Scouting, player representation, sponsorship management","Saïd Benrahma, Ismaël Bennacer","Algeria, Africa",info@toptalentsports.com,+213 21 2345 6789
52,Victory International Sports,"Career advisory, financial planning, club negotiations","Boubacar Kamara, Maxwel Cornet","Ivory Coast, Senegal, France",contact@victorysports.com,+225 20 6789 4321
53,Future Stars Agency,"Youth scouting, contract negotiations, career development","Mohamed Bayo, Sekou Koita","Guinea, Mali, Africa",info@futurestarsagency.com,+224 30 5678 9012
54,First Wave Sports,"Player branding, PR management, sponsorship acquisition","Kamaldeen Sulemana, Lassina Traoré","Burkina Faso, Ghana, Africa",support@firstwavesports.com,+233 24 345 6789
55,Elite Level Sports Management,"Club partnerships, financial advisory, scouting","Hamed Traoré, Jean Onana","Ivory Coast, Cameroon, Africa",info@elitelevelsports.com,+225 30 6789 1234
56,Prestige Football Agency,"Career mentorship, media handling, contract advisory","Eberechi Eze, Faitout Maouassa","Nigeria, DR Congo, Africa",contact@prestigefootball.com,+234 80 5678 4321
57,Game Changers Sports Agency,"Talent development, marketing, sponsorship negotiations","Taiwo Awoniyi, Terem Moffi","Nigeria, France, Africa",info@gamechangers.com,+234 70 3456 7890
58,Platinum Sports Management,"Football analytics, branding, club negotiations","Dango Ouattara, Mohamed Simakan","Burkina Faso, France, Africa",support@platinumsports.com,+226 20 6789 4321
59,Legends of the Game Agency,"Player mentoring, sponsorship deals, financial advising","Boulaye Dia, Moses Simon","Senegal, Nigeria, Africa",contact@legendsagency.com,+221 78 3456 7890
60,Infinity Sports Group,"Talent representation, media handling, legal advisory","Ismail Jakobs, Bouna Sarr","Senegal, Mali, Africa",info@infinitysports.com,+223 75 2345 6789
61,Elite Stars Sports Agency,"Contract negotiation, scouting, marketing","Frank Onyeka, Samuel Chukwueze","Nigeria, Africa",info@elitestarsports.com,+234 802 345 6789
62,Next Pro Management,"Career management, club partnerships, PR strategy","Mady Camara, Abdou Diallo","Senegal, Guinea, Africa",contact@nextpromgmt.com,+221 76 7890 1234
63,Global Talent Sports,"Sponsorships, endorsements, financial advisory","Ibrahim Sangaré, Nicolas Pépé","Ivory Coast, Africa",info@globaltalentsports.com,+225 70 2345 6789
64,Prime Football Agency,"Youth scouting, agent representation, brand development","Simon Adingra, Jean-Clair Todibo","France, Ivory Coast, Africa",support@primefootball.com,+33 1 7890 3456
65,Universal Sports Management,"Club negotiations, legal consulting, talent branding","Wilfried Zaha, Jeremie Boga","Ivory Coast, Ghana, Africa",info@universalsports.com,+225 99 8765 4321
66,Champion Athletes Agency,"Endorsements, sponsorship management, financial planning","Zaidu Sanusi, Moses Nyeman","Nigeria, Liberia, Africa",contact@championathletes.com,+234 70 3456 7890
67,Apex Sports Representation,"Player marketing, contract advisory, youth development","Randal Kolo Muani, Chidera Ejuke","France, Nigeria, Africa",info@apexsports.com,+33 6 6789 1234
68,Continental Sports Agency,"Football scouting, career advisory, commercial partnerships","Habib Maïga, Eliesse Ben Seghir","Morocco, Mali, Africa",support@continentalsports.com,+212 5 2345 6789
69,First Class Sports Management,"Brand endorsements, sponsorship negotiation, PR campaigns","Amine Gouiri, Sekou Mara","Algeria, France, Africa",info@firstclasssports.com,+213 6 6789 2345
70,Striker Sports Agency,"Club transfers, contract negotiations, player PR","Andy Delort, Adam Ounas","Algeria, Tunisia, Africa",contact@strikersports.com,+216 71 7890 2345
71,Invictus Talent Management,"Sponsorships, financial planning, global representation","Ousmane Diomande, Abdoulaye Doucouré","Ivory Coast, Mali, Africa",support@invictustalent.com,+225 50 5678 1234
72,ProScout Management,"Talent discovery, media handling, sponsorship deals","Noah Fadiga, Cheick Keita","Senegal, Guinea, Africa",info@proscoutmgmt.com,+221 30 2345 6789
73,Goal Achievers Sports,"Athlete branding, contract negotiations, investment planning","Kelvin Yeboah, Issa Kaboré","Ghana, Burkina Faso, Africa",contact@goalachievers.com,+233 55 6789 1234
74,Superior Athletes Agency,"Club deals, sponsorship activations, performance analysis","Bilal Boutobba, Hannibal Mejbri","Tunisia, Algeria, Africa",info@superiorathletes.com,+216 58 7890 3456
75,Supreme Sports Network,"Football analytics, PR consulting, career development","Mohammed Kudus, Ismail Gharbi","Ghana, Mali, Africa",support@supremesports.com,+233 44 5678 1234
76,Pinnacle Sports Management,"Sponsorship deals, club negotiations, player analytics","Tariq Lamptey, Calvin Bassey","Ghana, Nigeria, UK",info@pinnaclesports.com,+233 55 2345 6789
77,Dominance Football Agency,"Scouting, contract negotiation, brand development","Mohammed Salisu, Axel Tuanzebe","Ghana, DR Congo, UK",contact@dominancefootball.com,+233 20 6789 4321
78,Vanguard Sports Representation,"Player recruitment, sponsorship acquisition, financial advising","Odilon Kossounou, Jérémie Frimpong","Ivory Coast, Netherlands, Belgium",info@vanguardsports.com,+225 90 2345 6789
79,Aspire Football Management,"Talent scouting, PR management, club consulting","Nicolas Jackson, Abdessamad Ezzalzouli","Morocco, Senegal, Spain",support@aspirefootball.com,+212 6 7890 3456
80,Summit Athletes Agency,"Career planning, sponsorship management, tactical analysis","Noha Lemina, Iliman Ndiaye","France, Senegal, UK",info@summitathletes.com,+33 6 6789 1234
81,Titanium Sports Consulting,"Club deals, media handling, legal representation","Sekou Sylla, Edmond Tapsoba","Burkina Faso, Netherlands, Germany",contact@titaniumsports.com,+226 50 5678 1234
82,Prime Football Talent,"Youth development, scouting, performance analytics","Bradley Barcola, Oumar Solet","France, Mali, Togo",info@primefootballtalent.com,+33 1 6789 2345
83,Momentum Sports Management,"Sponsorships, financial consulting, football analytics","Aïssa Laïdouni, Wily Semedo","Tunisia, Algeria, Portugal",contact@momentumsports.com,+216 55 7890 3456
84,Powerhouse Football Agency,"Endorsements, club recruitment, tactical planning","Ellyes Skhiri, Joris Kayembe","Tunisia, DR Congo, Belgium",info@powerhousefootball.com,+216 71 2345 6789
85,Black Star Football Management,"Sponsorship negotiations, branding, talent representation","Issahaku Abdul Fatawu, Osman Bukari","Ghana, Austria, Serbia",support@blackstarfootball.com,+233 44 5678 1234
86,Continental Sports Elite,"Contract structuring, media relations, talent scouting","Lamine Camara, Bamba Dieng","Senegal, France, Africa",info@continentalsportselite.com,+221 78 7890 3456
87,FIFA Connect Sports Agency,"Global player marketing, financial advising, legal consulting","Adem Zorgane, Ahmed Touba","Algeria, Belgium, France",contact@fifaconnectsports.com,+213 21 5678 2345
88,Eagle Vision Talent Agency,"Scouting, club placements, player branding","Saïdou Sow, Bafodé Diakité","Guinea, France, Africa",info@eaglevisiontalent.com,+224 50 2345 6789
89,Masterclass Sports Management,"Youth training programs, sponsorship acquisition, legal advisory","Naby Keïta, Amadou Haidara","Mali, Guinea, Africa",support@masterclasssports.com,+223 70 5678 1234
90,Invincible Sports Agency,"Tactical analytics, brand development, sponsorships","Mohamed Amoura, Abdelkahar Kadri","Algeria, France, Africa",info@invinciblesports.com,+213 99 6789 1234
91,Olympic Sports Management,"Contract negotiations, sponsorships, career management","Sekou Koita, Edmond Tapsoba","Burkina Faso, Mali, Germany",info@olympicsports.com,+226 55 2345 6789
92,Victory Path Sports Agency,"Talent scouting, endorsement deals, club partnerships","Youssouf Fofana, Boubacar Traoré","Mali, France, Africa",contact@victorypathsports.com,+223 70 7890 3456
93,Legendary Athletes Representation,"Brand partnerships, career strategy, club transfers","Aliou Badara Baldé, Habib Diallo","Senegal, France, Belgium",info@legendaryathletes.com,+221 77 6789 2345
94,Pioneer Football Agency,"Club negotiations, talent promotions, sports marketing","Lassana Coulibaly, Ismael Bennacer","Mali, Algeria, Italy",support@pioneerfootball.com,+223 50 2345 6789
95,Champion Sports Advisory,"Player branding, investment planning, sponsorship deals","Mohamed Elneny, Akram Tawfik","Egypt, Tunisia, UAE",info@championsports.com,+20 12 6789 3456
96,Pan-African Talent Management,"International club recruitment, youth development, PR","Zakaria Aboukhlal, Chancel Mbemba","Morocco, DR Congo, Portugal",contact@panafricantalent.com,+212 6 7890 1234
97,New Horizon Sports Agency,"Sponsorships, tactical analysis, financial advising","Eric Bailly, Yves Bissouma","Ivory Coast, Mali, UK",info@newhorizonsports.com,+225 99 5678 2345
98,Pro Africa Football Agency,"Athlete representation, strategic branding, career guidance","Yannick Bolasie, Cedric Bakambu","DR Congo, France, Spain",support@proafricafootball.com,+243 81 3456 7890
99,Summit Sports Elite,"Legal consulting, player PR, sponsorship negotiations","Amadou Diawara, Ismail Jakobs","Guinea, Senegal, Germany",info@summitsportselite.com,+224 30 6789 2345
100,Infinity Football Management,"Youth scouting, club transfers, endorsement management","Jean-Philippe Gbamin, El Bilal Touré","Ivory Coast, Mali, UK",contact@infinityfootball.com,+225 78 5678 1234
101,Next Gen Sports Agency,"Strategic career planning, financial consulting, sponsorship acquisition","Bouna Sarr, Mohamed Ali Cho","Senegal, France, Spain",info@nextgensports.com,+221 60 6789 1234
102,Elite Africa Football Agency,"Marketing, PR, branding, athlete development","Anis Ben Slimane, Karim Konaté","Tunisia, Ivory Coast, Austria",contact@eliteafricafootball.com,+216 50 2345 6789
103,Legacy Sports Group,"Sponsorships, talent management, legal consulting","Joseph Paintsil, Samuel Kalu","Ghana, Nigeria, Belgium",info@legacysports.com,+233 77 5678 1234
104,Game Changers Football Agency,"Tactical development, financial consulting, scouting reports","Pape Matar Sarr, Yacine Adli","Senegal, Algeria, France",support@gamechangersfootball.com,+221 70 7890 2345
105,African Stars Management,"Youth academies, club placements, sponsorships","Hamed Traoré, Lamine Camara","Ivory Coast, Mali, France",info@africanstars.com,+225 55 6789 2345
106,Pan-African Sports Group,"Athlete representation, contract negotiation, talent scouting","Wilfried Zaha, Franck Kessié","Ivory Coast, Ghana, France",contact@pan-africansports.com,+225 20 789 5678
107,NextGen Football Agency,"Professional development, sponsorship deals, PR management","Victor Osimhen, Samuel Chukwueze","Nigeria, Italy, Spain",info@nextgenfootball.com,+234 812 345 6789
108,Prime Athletes Management,"Sports branding, club placements, performance analytics","Achraf Hakimi, Ismael Bennacer","Morocco, Algeria, France",info@primeathletes.com,+212 661 789 234
109,African Football Hub,"Player career planning, scouting, youth development programs","Sadio Mané, Naby Keïta","Senegal, Mali, Germany",contact@africanfootballhub.com,+221 77 567 8901
110,Champion Sports Agency,"Legal advisory, sponsorship acquisition, club transfers","Thomas Partey, Kamaldeen Sulemana","Ghana, England, Belgium",info@championsports.com,+233 24 345 6789
111,Rise Africa Sports,"Contract management, club negotiation, player branding","Pierre-Emerick Aubameyang, Andre Ayew","Gabon, Ghana, France",riseafrica@football.com,+241 06 678 4321
112,Top Scorers Management,"Player scouting, contract optimization, sponsorship partnerships","Mohamed Salah, Riyad Mahrez","Egypt, Algeria, UK",topscorers@management.com,+20 100 456 7890
113,ProSport Management,"Football career consultancy, legal representation, transfers","Idrissa Gueye, Kalidou Koulibaly","Senegal, France, Italy",info@prosportmng.com,+221 76 987 6543
114,Future Champions Agency,"Youth talent scouting, sponsorship deals, player marketing","Patson Daka, Enock Mwepu","Zambia, South Africa, Austria",contact@futurechampions.com,+260 97 888 3456
115,Star Talent Sports,"Club transfers, career mentoring, sponsorship activation","Moses Simon, Taiwo Awoniyi","Nigeria, France, Germany",startalent@sports.com,+234 909 567 1234
116,Football Prestige Management,"Professional contract negotiation, image rights, talent investment","Edouard Mendy, Bertrand Traoré","Ivory Coast, Burkina Faso, UK",info@footballprestige.com,+225 07 678 9012
117,Elite Sports Africa,"Player representation, legal services, club placements","Innocent Bonke, Frank Onyeka","Nigeria, Denmark, UK",info@elitesportsafrica.com,+234 701 234 5678
118,Legendary Talent Group,"Contract negotiation, sponsorship acquisitions, PR management","Sebastien Haller, Serge Aurier","Ivory Coast, France, Netherlands",contact@legendarytalent.com,+225 22 789 4321
119,Goal Masters Management,"Athlete development, club connections, career planning","Paul Onuachu, Henry Onyekuru","Nigeria, Turkey, Belgium",info@goalmasters.com,+234 815 567 8901
120,Tactical Vision Sports,"Scouting reports, sponsorship management, marketing strategies","Ramy Bensebaini, Islam Slimani","Algeria, France, Germany",tacticalvision@dz.com,+213 663 345 6789
121,First Touch Agency,"Player development, media consulting, image rights management","Mohammed Kudus, Jonathan Mensah","Ghana, UK, Spain",contact@firsttouchagency.com,+233 27 901 2345
122,ProLink Football Agency,"Youth scouting, club recruitment, career strategy","Youssef En-Nesyri, Achraf Dari","Morocco, Spain, France",info@prolinkfootball.com,+212 678 432 987
123,Football Dynamics Management,"Club negotiations, sponsorship brokering, talent scouting","Wilfried Ndidi, Kelechi Iheanacho","Nigeria, England, Belgium",footballdynamics@ng.com,+234 908 765 4321
124,TopFlight Sports Agency,"International transfers, sponsorship procurement, training camps","Kalidou Koulibaly, Bouna Sarr","Senegal, France, Italy",topflight@senegalsports.com,+221 75 678 9012
125,True Champions Agency,"Football intelligence, media strategy, financial planning","Jean-Michael Seri, Maxwel Cornet","Ivory Coast, UK, France",champions@trueagency.com,+225 03 987 6543
126,Royal Sports Management,"Elite athlete contracts, club recommendations, agent services","Ismaël Bennacer, Adam Ounas","Algeria, Italy, France",royalsports@algeria.com,+213 550 876 543
127,African ProTalent Agency,"Talent scouting, player endorsements, sponsorship deals","Patson Daka, Enock Mwepu","Zambia, Austria, UK",contact@africanprotalent.com,+260 97 345 6789
128,Total Performance Sports,"Professional coaching, career management, sponsorship activation","Mohamed Elneny, Mostafa Mohamed","Egypt, Turkey, UK",info@totalperformance.com,+20 111 789 6543
129,Masterclass Football Agency,"Scouting, club placements, social media branding","Faitout Maouassa, Jules Koundé","France, DR Congo, Cameroon",contact@masterclassfootball.com,+33 675 432 1098
